match_id,game_id,data_version,end_of_game_result,frame_interval
KR_7586549521,7586549521,2,GameComplete,60000
KR_7587603876,7587603876,2,GameComplete,60000
KR_7586955442,7586955442,2,GameComplete,60000
KR_7586443327,7586443327,2,GameComplete,60000
KR_7586522019,7586522019,2,GameComplete,60000
KR_7587543066,7587543066,2,GameComplete,60000
KR_7585677928,7585677928,2,GameComplete,60000
KR_7586019814,7586019814,2,GameComplete,60000
KR_7586998539,7586998539,2,GameComplete,60000
KR_7585763630,7585763630,2,GameComplete,60000
KR_7586784823,7586784823,2,GameComplete,60000
KR_7586438504,7586438504,2,GameComplete,60000
KR_7586084680,7586084680,2,GameComplete,60000
KR_7586998287,7586998287,2,GameComplete,60000
KR_7587405903,7587405903,2,GameComplete,60000
KR_7586056125,7586056125,2,GameComplete,60000
KR_7587238721,7587238721,2,GameComplete,60000
KR_7587363782,7587363782,2,GameComplete,60000
KR_7587371721,7587371721,2,GameComplete,60000
KR_7586920182,7586920182,2,GameComplete,60000
KR_7587426287,7587426287,2,GameComplete,60000
KR_7586463010,7586463010,2,GameComplete,60000
KR_7585810059,7585810059,2,GameComplete,60000
KR_7586110280,7586110280,2,GameComplete,60000
KR_7586652275,7586652275,2,GameComplete,60000
KR_7586904196,7586904196,2,GameComplete,60000
KR_7586087322,7586087322,2,GameComplete,60000
KR_7586959233,7586959233,2,GameComplete,60000
KR_7586644074,7586644074,2,GameComplete,60000
KR_7587483589,7587483589,2,GameComplete,60000
KR_7586937222,7586937222,2,GameComplete,60000
KR_7587211379,7587211379,2,GameComplete,60000
KR_7587645401,7587645401,2,GameComplete,60000
KR_7587342695,7587342695,2,GameComplete,60000
KR_7587049610,7587049610,2,GameComplete,60000
KR_7587199859,7587199859,2,GameComplete,60000
KR_7587315552,7587315552,2,GameComplete,60000
KR_7587207804,7587207804,2,GameComplete,60000
KR_7587382404,7587382404,2,GameComplete,60000
KR_7586285899,7586285899,2,GameComplete,60000
KR_7585806818,7585806818,2,GameComplete,60000
KR_7586068019,7586068019,2,GameComplete,60000
KR_7586510389,7586510389,2,GameComplete,60000
KR_7585743008,7585743008,2,GameComplete,60000
KR_7587262793,7587262793,2,GameComplete,60000
KR_7587022081,7587022081,2,GameComplete,60000
KR_7587569192,7587569192,2,GameComplete,60000
KR_7587356516,7587356516,2,GameComplete,60000
KR_7587539553,7587539553,2,GameComplete,60000
KR_7587081777,7587081777,2,GameComplete,60000
KR_7587465241,7587465241,2,GameComplete,60000
