match_id,game_id,data_version,end_of_game_result,frame_interval
KR_7494844141,7494844141,2,GameComplete,60000
KR_7286919833,7286919833,2,GameComplete,60000
KR_7279007354,7279007354,2,GameComplete,60000
KR_7278919282,7278919282,2,GameComplete,60000
KR_7278793285,7278793285,2,GameComplete,60000
KR_7278666530,7278666530,2,GameComplete,60000
KR_7278612852,7278612852,2,GameComplete,60000
KR_7278531073,7278531073,2,GameComplete,60000
KR_7276401144,7276401144,2,GameComplete,60000
KR_7276335666,7276335666,2,GameComplete,60000
